전공구분,이수명,배당,취득,이수,그룹,잔여,수강,제외값,제외사유
공통,재학(졸업직전) 및 수업연한 충족,Y,Y,Y,,,,,
공통,졸업학점,130,118,N,,12,16,0,
공통,전공학점,42,32,N,,10,11,,
공통,전공 100~300단위,24,24,Y,,0,6,,
공통,전공 200~300단위,30,24,N,,6,6,,
공통,전공 400단위,12,8,N,,4,5,,
공통,영어전용강좌수,3,4,Y,,0,1,,
공통,사회봉사,1,1,Y,,0,0,,
공통,선수강이수여부,Y,Y,Y,,0,0,,
공통,졸업평점(성적증명평점과 상이),1.75,3.96,Y,,0,0,,
공통,미필과목이수여부,Y,Y,Y,,0,0,,
전공,졸업논문/시험/작품,Y,Y,N,,0,0,,
전공,인턴십이수여부,Y,Y,Y,,0,0,,
교양,핵심교양,10,14,Y,,0,3,,
교양,고전읽기영역,2,3,Y,,0,0,,
교양,글로벌언어와문화영역,2,3,Y,,0,0,,
교양,IC-PBL강좌,2,6,Y,,0,2,,
교양,미래산업과창업영역,,5,Y,,0,0,,
교양,과학과기술영역,6,6,Y,6학점,0,0,,
교양,인문과예술영역,,3,Y,,0,3,,
교양,사회와세계영역,,,Y,,0,0,,
